,name,tags
39,"Mangalam Camphor tab Pouch (500g Small Round, Pack of 1)",grocery & gourmet foods grocery & gourmet foods 4.3 ₹549 ₹750
40,"Parle Krackjack, 400g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹74 ₹75
41,"True Elements Nuts & Berries Muesli 1kg - With 14% Millets, Almonds & Cranberries | High in Fibre | 100% Wholegrain Breakf...",grocery & gourmet foods grocery & gourmet foods 4.3 ₹499 ₹595
42,"Cadbury Dairy Milk Bites Hazelnut, 40 g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹68 ₹75
43,"LG Asafoetida Powder, 100 g",grocery & gourmet foods grocery & gourmet foods 4.5 ₹147 ₹165
44,"Sleepy Owl Premium Instant Coffee Sachets | 96 gm - Pack of 48 Assorted Coffee Powder Sachets | 2g Each - Original, French...",grocery & gourmet foods grocery & gourmet foods 3.9 ₹299 ₹500
45,"Cadbury Silk Valentines Potli Gift Pack, 343 g",grocery & gourmet foods grocery & gourmet foods 4.3 ₹520 ₹650
46,"Nature Prime 100% Natural Premium Mix Dry Fruits and Nuts 1 Kg [Almonds, Cashew, Kishmish, Apricot, Black Raisins,kiwi] Dr...","grocery & gourmet foods grocery & gourmet foods 4 ₹749 ₹1,499"
47,Tur Dal Loose Selecta 1kg,grocery & gourmet foods grocery & gourmet foods 4.2 ₹140 ₹199
48,"Mccain Veggie Burger, 360 g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹114 ₹135
49,Saffola Fittify Himalayan Apple Cider Vinegar with the Mother of Vinegar - 500 ml,grocery & gourmet foods grocery & gourmet foods 4.1 ₹150 ₹299
50,"Patanjali Saundarya Aloe Vera Gel, 150ml",grocery & gourmet foods grocery & gourmet foods 4.3 ₹88 ₹100
51,"Brooke Bond Red Label Natural Care Tea, 250g Carton",grocery & gourmet foods grocery & gourmet foods 4.4 ₹125 ₹130
52,"Organic India Tulsi Original Tea, 25 Infusion Tea Bags ( 1 Bag x 1.74g Each )",grocery & gourmet foods grocery & gourmet foods 4.5 ₹161 ₹168
53,"Aashirvaad Sugar Release Control Atta, 1kg Pack, Low GI (Glycemic Index) Atta for Diabetics, A Blend of Whole Wheat, Pulse...",grocery & gourmet foods grocery & gourmet foods 4.4 ₹77 ₹80
54,Himalaya Wellness Pure Herbs Shatavari Women's Wellness | Promotes lactation | - 60 Tablets,grocery & gourmet foods grocery & gourmet foods 4.1 ₹165 ₹180
55,"More Whole Masoor Malka - Red, 500g (Loose)",grocery & gourmet foods grocery & gourmet foods 4.1 ₹149 ₹199
56,"Urban Platter Baker's Active Dry Yeast, 100g",grocery & gourmet foods grocery & gourmet foods 4.3 ₹195 ₹250
57,"Lipton Honey Lemon Green Tea Bags, 25 Pieces",grocery & gourmet foods grocery & gourmet foods 4.3 ₹170 ₹180
58,"Amazon Brand - Vedaka Poppy Seeds (Khus Khus), 200g",grocery & gourmet foods grocery & gourmet foods 4.3 ₹499 ₹600
