,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
33,"Aashirvaad Sugar Release Control Atta, 5kg Pack, Low GI Atta",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/81kcZpNNKNS._AC_UL320_.jpg,https://www.amazon.in/Aashirvaad-Sugar-Release-Control-Atta/dp/B06XDCQYQX/ref=sr_1_835_f3_0g_fs?qid=1679216187&s=grocery&sr=1-835,4.4,"1,762",₹375,₹395
34,"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.5kg ( Additive-Free, Gourmet Grade, Signature Quality)",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71SpDzVLJZL._AC_UL320_.jpg,https://www.amazon.in/Urban-Platter-Himalayan-Powder-1-25kg/dp/B071WQJK4X/ref=sr_1_836?qid=1679216187&s=grocery&sr=1-836,4.4,"2,994",₹395,₹400
35,"Aashirvaad Nature’s Superfoods Gluten Free Flour, 1kg Pack, Super Nutritious Flour",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/819vYkT-VHL._AC_UL320_.jpg,https://www.amazon.in/Aashirvaad-Natures-Super-Foods-Gluten/dp/B07MF9CX2H/ref=sr_1_837?qid=1679216187&s=grocery&sr=1-837,4,"1,392",₹189,₹210
36,veeba pasta pizza sauce 280g,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71eY2jA-pHL._AC_UL320_.jpg,https://www.amazon.in/Veeba-Pasta-Pizza-Sauce-310g/dp/B06WVM9CSH/ref=sr_1_838?qid=1679216187&s=grocery&sr=1-838,4.3,"2,284",₹83,₹89
37,24 Mantra Organic Bajra Flour/Pearl Millet Flour/Sajjalu - 500gms | Pack of 1 | Chemical Free & Pesticides Free | Naturall...,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71LtAovHIsL._AC_UL320_.jpg,https://www.amazon.in/24-Mantra-Organic-Bajra-Millet/dp/B00L925YBS/ref=sr_1_840?qid=1679216187&s=grocery&sr=1-840,4.3,"2,490",₹50,₹55
38,Brij Gwala Desi Cow Ghee |Made Traditionally from Curd |Pure Cow Ghee for Better Digestion and Immunity | 1Ltr TetraPack,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61ctpFYqLTL._AC_UL320_.jpg,https://www.amazon.in/Brij-Gwala-Pure-Desi-Ghee/dp/B07WCTFG7N/ref=sr_1_1321?qid=1679216194&s=grocery&sr=1-1321,3.4,909,₹450,₹580
39,"Mangalam Camphor tab Pouch (500g Small Round, Pack of 1)",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/713lj6wLuJL._AC_UL320_.jpg,https://www.amazon.in/Mangalam-Camphor-Tablets-Aarti-Meditation/dp/B00ZR6KXUE/ref=sr_1_1322_mod_primary_new?qid=1679216194&s=grocery&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1322,4.3,"7,519",₹549,₹750
40,"Parle Krackjack, 400g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/81VK59CJUXL._AC_UL320_.jpg,https://www.amazon.in/Parle-Krack-Jack-Biscuits-400g/dp/B07KSB4J3M/ref=sr_1_1324?qid=1679216194&s=grocery&sr=1-1324,4.4,"1,258",₹74,₹75
41,"True Elements Nuts & Berries Muesli 1kg - With 14% Millets, Almonds & Cranberries | High in Fibre | 100% Wholegrain Breakf...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/51mow6vx+HL._AC_UL320_.jpg,https://www.amazon.in/True-Elements-Crunchy-Berries-Cranberries/dp/B085WXXBSK/ref=sr_1_1325?qid=1679216194&s=grocery&sr=1-1325,4.3,"2,594",₹499,₹595
42,"Cadbury Dairy Milk Bites Hazelnut, 40 g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61xUrZc2XtL._AC_UL320_.jpg,https://www.amazon.in/Cadbury-Dairy-Milk-Bites-Hazelnut/dp/B09Z6ZC6PC/ref=sr_1_1326?qid=1679216194&s=grocery&sr=1-1326,4.4,262,₹68,₹75
43,"LG Asafoetida Powder, 100 g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/41BRTVTgr2L._AC_UL320_.jpg,https://www.amazon.in/LG-Asafoetida-Powder-100-g/dp/B08J4GGHVL/ref=sr_1_1327?qid=1679216194&s=grocery&sr=1-1327,4.5,704,₹147,₹165
